id,name,description,tags,input_schema,output_schema
167,StringOperationsPiece,A Piece that performs string operations,"[""default"", ""string""]","{""$defs"":{""OperationItem"":{""properties"":{""auxiliary_argument"":{""default"":"""",""description"":""Auxiliary argument for `split_by` and `replace_by` operations.\nIf `split_by` is selected, this argument will be used as the index of the split array.\nIf `replace_by` is selected, this argument will be used as the string to replace.\n"",""title"":""Auxiliary Argument"",""type"":""string""},""operation"":{""allOf"":[{""$ref"":""#/$defs/OperationsTypes""}],""description"":""Operation to perform. Options: `concatenate`, `lower_case`, `upper_case`, `split_by`, `replace_by`."",""from_upstream"":""never""},""second_argument"":{""default"":"""",""description"":""Value for the second argument."",""title"":""Second Argument"",""type"":""string""}},""required"":[""operation""],""title"":""OperationItem"",""type"":""object""},""OperationsTypes"":{""enum"":[""concatenate"",""lower_case"",""upper_case"",""split_by"",""replace_by"",""strip_spaces""],""title"":""OperationsTypes"",""type"":""string""}},""properties"":{""first_argument"":{""description"":""Value for the first argument."",""title"":""First Argument"",""type"":""string""},""operations"":{""description"":""Sequence of operations to perform."",""items"":{""$ref"":""#/$defs/OperationItem""},""title"":""Operations"",""type"":""array""}},""required"":[""first_argument"",""operations""],""title"":""StringOperationsPiece"",""type"":""object""}","{""properties"":{""output_string"":{""description"":""Output string."",""title"":""Output String"",""type"":""string""}},""required"":[""output_string""],""title"":""OutputModel"",""type"":""object""}"
168,ToyDatasetsPiece,Load toy datasets from scikit-learn,"[""default"", ""datasets""]","{""$defs"":{""DatasetName"":{""enum"":[""iris"",""diabetes"",""digits"",""wine"",""breast_cancer"",""linnerrud""],""title"":""DatasetName"",""type"":""string""}},""properties"":{""dataset"":{""allOf"":[{""$ref"":""#/$defs/DatasetName""}],""default"":""iris"",""title"":""Dataset name""}},""title"":""ToyDatasetsPiece"",""type"":""object""}","{""properties"":{""file_path"":{""anyOf"":[{""type"":""string""},{""type"":""null""}],""default"":null,""title"":""File path""}},""title"":""OutputModel"",""type"":""object""}"
170,LoremIpsumGeneratorPiece,A Piece that generates Lorem Ipsum text.,"[""default"", ""text""]","{""$defs"":{""ItemsType"":{""enum"":[""words"",""sentences"",""paragraphs""],""title"":""ItemsType"",""type"":""string""}},""description"":""LoremIpsumGeneratorPiece Input Model"",""properties"":{""items"":{""allOf"":[{""$ref"":""#/$defs/ItemsType""}],""default"":""words"",""description"":""Type of items to generate.""},""number_of_items"":{""default"":1,""description"":""Number of items to generate."",""title"":""Number Of Items"",""type"":""integer""}},""title"":""LoremIpsumGeneratorPiece"",""type"":""object""}","{""description"":""LoremIpsumGeneratorPiece Output Model"",""properties"":{""output_text"":{""description"":""Generated text."",""title"":""Output Text"",""type"":""string""}},""required"":[""output_text""],""title"":""OutputModel"",""type"":""object""}"
172,HttpRequestPiece,Makes a HTTP request to a given URL.,"[""default"", ""http"", ""request""]","{""$defs"":{""MethodTypes"":{""enum"":[""GET"",""POST"",""PUT"",""DELETE""],""title"":""MethodTypes"",""type"":""string""}},""properties"":{""bearer_token"":{""default"":null,""description"":""Bearer token to use for authentication."",""title"":""Bearer Token"",""type"":""string""},""body_json_data"":{""default"":""{\n    \""key_1\"": \""value_1\"",\n    \""key_2\"": \""value_2\""\n}\n"",""description"":""JSON data to send in the request body."",""title"":""Body Json Data"",""type"":""string"",""widget"":""codeeditor-json""},""method"":{""allOf"":[{""$ref"":""#/$defs/MethodTypes""}],""default"":""GET"",""description"":""HTTP method to use.""},""url"":{""description"":""URL to make a request to."",""title"":""Url"",""type"":""string""}},""required"":[""url""],""title"":""HttpRequestPiece"",""type"":""object""}","{""properties"":{""base64_bytes_data"":{""description"":""Output data as base64 encoded string."",""title"":""Base64 Bytes Data"",""type"":""string""}},""required"":[""base64_bytes_data""],""title"":""OutputModel"",""type"":""object""}"
169,ToStringPiece,A Piece that transforms any input to string.,"[""default"", ""string""]","{""description"":""ToStringPiece Input Model"",""properties"":{""input_value"":{""anyOf"":[{""type"":""string""},{""items"":{},""type"":""array""},{""type"":""integer""},{""type"":""number""},{""type"":""boolean""},{""type"":""object""},{""format"":""date"",""type"":""string""},{""format"":""time"",""type"":""string""},{""format"":""date-time"",""type"":""string""}],""description"":""Input value to be turned into string."",""from_upstream"":""always"",""title"":""Input Value""}},""required"":[""input_value""],""title"":""ToStringPiece"",""type"":""object""}","{""description"":""ToStringPiece Output Model"",""properties"":{""output_value"":{""description"":""Input value as a string."",""title"":""Output Value"",""type"":""string""}},""required"":[""output_value""],""title"":""OutputModel"",""type"":""object""}"
171,GetItemFromArrayPiece,Get one item from an input array.,"[""default"", ""array""]","{""$defs"":{""IndexType"":{""enum"":[""first"",""last"",""random"",""another""],""title"":""IndexType"",""type"":""string""}},""description"":""GetItemFromArrayPiece Input Model"",""properties"":{""another_index"":{""default"":1,""description"":""Index number of item to get from input array."",""minimum"":1,""title"":""Another Index"",""type"":""integer""},""index"":{""allOf"":[{""$ref"":""#/$defs/IndexType""}],""default"":""first"",""description"":""Index of item to get from input array.""},""input_array"":{""description"":""Input array to get item from."",""from_upstream"":""always"",""items"":{},""title"":""Input Array"",""type"":""array""}},""required"":[""input_array""],""title"":""GetItemFromArrayPiece"",""type"":""object""}","{""description"":""GetItemFromArrayPiece Output Model"",""properties"":{""output_value"":{""anyOf"":[{""type"":""string""},{""items"":{},""type"":""array""},{""type"":""integer""},{""type"":""number""},{""type"":""boolean""},{""type"":""object""},{""format"":""date"",""type"":""string""},{""format"":""time"",""type"":""string""},{""format"":""date-time"",""type"":""string""}],""description"":""Item from input array at specified index."",""title"":""Output Value""}},""required"":[""output_value""],""title"":""OutputModel"",""type"":""object""}"
297,ImageRotatePiece,"Piece to rotate an image by a discrete angle (0, 90, 180, 270) and save the result.","[""image"", ""preprocessing"", ""rotate""]","{""properties"":{""input_image_path"":{""description"":""Path to the source image file or folder of images on disk."",""title"":""Input image path"",""type"":""string""},""output_image_path"":{""description"":""Folder where to save the enhanced image(s)."",""title"":""Output folder path"",""type"":""string""},""rotation"":{""default"":0,""description"":""Rotation angle in degrees; must be one of 0, 90, 180, 270 (counter-clockwise)."",""items"":{""enum"":[0,90,180,270],""type"":""integer""},""title"":""Rotation (degrees)"",""type"":""array""}},""required"":[""input_image_path"",""output_image_path""],""title"":""ImageRotatePiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Path to the folder with saved output image(s)."",""title"":""Output folder path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
298,ImageClassificationInferencePiece,Piece for inferencing an image classification model based on a 2D CNN architecture. The model is implemented in Keras.,"[""AI"", ""Keras"", ""Tensorflow"", ""CNN"", ""2D"", ""classification"", ""images""]","{""description"":""ImageClassificationInferencePiece Input Model"",""properties"":{""inference_data_path"":{""default"":"""",""description"":""Path to the inference data."",""title"":""inference data path"",""type"":""string""},""saved_model_path"":{""default"":"""",""description"":""Path to the saved model directory."",""title"":""saved model path"",""type"":""string""}},""title"":""ImageClassificationInferencePiece"",""type"":""object""}","{""description"":""ImageClassificationinferencePiece Output Model"",""properties"":{""classification_results"":{""description"":""JSON of the classification results."",""items"":{""additionalProperties"":true,""type"":""object""},""title"":""Classification Results"",""type"":""array""}},""required"":[""classification_results""],""title"":""OutputModel"",""type"":""object""}"
299,ImageEnhanceContrastPiece,Piece to apply contrast enhancement to a single image and save the result.,"[""AI"", ""image"", ""preprocessing"", ""contrast""]","{""properties"":{""factor"":{""default"":1.0,""description"":"">1.0 increases contrast, <1.0 decreases; 1.0 leaves the image unchanged."",""title"":""Contrast factor"",""type"":""number""},""input_image_path"":{""description"":""Path to the source image file or folder of images on disk."",""title"":""Input image path"",""type"":""string""},""output_image_path"":{""description"":""Where to save the enhanced image(s) (parent folders are created if missing)."",""title"":""Output image path"",""type"":""string""}},""required"":[""input_image_path"",""output_image_path""],""title"":""ImageEnhanceContrastPiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Path to the saved output image."",""title"":""Output image path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
300,ImageToGrayPiece,Piece to convert an image to grayscale and save the result.,"[""image"", ""preprocessing"", ""grayscale""]","{""properties"":{""input_image_path"":{""description"":""Path to the source image file or folder of images on disk."",""title"":""Input image path"",""type"":""string""},""output_image_path"":{""description"":""Where to save the enhanced image(s) (parent folders are created if missing)."",""title"":""Output image path"",""type"":""string""}},""required"":[""input_image_path"",""output_image_path""],""title"":""ImageToGrayPiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Path to the saved output image."",""title"":""Output image path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
301,ImageClassificationTrainPiece,Piece for training an image classification model based on a 2D CNN architecture. The model is implemented in Keras.,"[""AI"", ""Keras"", ""Tensorflow"", ""CNN"", ""2D"", ""classification"", ""images""]","{""description"":""ImageClassificationTrainPiece Input Model"",""properties"":{""batch_size"":{""default"":32,""description"":""Batch size."",""title"":""batch size"",""type"":""integer""},""dropout_rate"":{""default"":0,""description"":""Dropout rate."",""title"":""dropout rate"",""type"":""number""},""early_stop_patience"":{""default"":500,""description"":""Number of epochs with no improvement before stopping the training."",""title"":""patience"",""type"":""integer""},""epochs"":{""default"":500,""description"":""Number of epochs."",""title"":""epochs"",""type"":""integer""},""filters_per_layer"":{""default"":[64,64,64],""description"":""Number of filters for each convolutional layer."",""items"":{""type"":""integer""},""title"":""number of filters"",""type"":""array""},""image_size"":{""default"":[256,256],""description"":""Size of the input image"",""items"":{""type"":""integer""},""title"":""image size"",""type"":""array""},""kernel_sizes"":{""default"":[3,3,3],""description"":""Kernel size for each convolutional layer."",""items"":{""type"":""integer""},""title"":""kernel sizes"",""type"":""array""},""num_layers"":{""default"":3,""description"":""Number of convolutional layers."",""title"":""number of layers"",""type"":""integer""},""train_data_path"":{""description"":""Path to the train data."",""title"":""train data path"",""type"":""string""},""validation_data_path"":{""anyOf"":[{""type"":""string""},{""type"":""null""}],""default"":null,""description"":""Path to the validation data if validation data is pre-split"",""title"":""validation data path""},""validation_split"":{""anyOf"":[{""type"":""number""},{""type"":""null""}],""default"":null,""description"":""Percentage of data to be used for validation if validation data is to be split."",""title"":""validation split""}},""required"":[""train_data_path""],""title"":""ImageClassificationTrainPiece"",""type"":""object""}","{""description"":""ImageClassificationTrainPiece Output Model"",""properties"":{""best_model_file_path"":{""description"":""Path to the saved best model."",""title"":""Best Model File Path"",""type"":""string""},""config_path"":{""description"":""Path to the saved config."",""title"":""Config Path"",""type"":""string""},""last_model_file_path"":{""description"":""Path to the saved last model."",""title"":""Last Model File Path"",""type"":""string""}},""required"":[""best_model_file_path"",""last_model_file_path"",""config_path""],""title"":""OutputModel"",""type"":""object""}"
302,ImageCropPiece,"Piece to crop an image to a fixed rectangle (left, top, right, bottom).","[""image"", ""preprocessing"", ""crop""]","{""properties"":{""bottom"":{""description"":""Bottom coordinate (pixels, exclusive) of the crop box (PIL format)."",""title"":""Bottom"",""type"":""integer""},""input_image_path"":{""description"":""Path to the source image file or folder of images on disk."",""title"":""Input image path"",""type"":""string""},""left"":{""description"":""Left coordinate (pixels) of the crop box (PIL format)."",""title"":""Left"",""type"":""integer""},""output_image_path"":{""description"":""Where to save the enhanced image(s) (parent folders are created if missing)."",""title"":""Output image path"",""type"":""string""},""right"":{""description"":""Right coordinate (pixels, exclusive) of the crop box (PIL format)."",""title"":""Right"",""type"":""integer""},""top"":{""description"":""Top coordinate (pixels) of the crop box (PIL format)."",""title"":""Top"",""type"":""integer""}},""required"":[""input_image_path"",""output_image_path"",""left"",""top"",""right"",""bottom""],""title"":""ImageCropPiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Path to the saved output image."",""title"":""Output image path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
303,ImageOffsetPiece,"Piece to translate an image by integer pixel offsets (dx, dy) and save the result.","[""image"", ""preprocessing"", ""translate""]","{""properties"":{""dx"":{""default"":0,""description"":""Horizontal translation in pixels; positive moves right, negative moves left."",""title"":""Offset X (pixels)"",""type"":""integer""},""dy"":{""default"":0,""description"":""Vertical translation in pixels; positive moves down, negative moves up."",""title"":""Offset Y (pixels)"",""type"":""integer""},""input_image_path"":{""description"":""Path to the source image file or folder of images on disk."",""title"":""Input image path"",""type"":""string""},""output_image_path"":{""description"":""Where to save the enhanced image(s) (parent folders are created if missing)."",""title"":""Output image path"",""type"":""string""}},""required"":[""input_image_path"",""output_image_path""],""title"":""ImageOffsetPiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Path to the saved output image."",""title"":""Output image path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
304,ImageEnhanceBrightnessPiece,Piece to apply brightness enhancement to a single image and save the result.,"[""AI"", ""image"", ""preprocessing"", ""brightness""]","{""properties"":{""factor"":{""default"":1.0,""description"":"">1.0 increases brightness, <1.0 decreases; 1.0 leaves the image unchanged."",""title"":""Brightness factor"",""type"":""number""},""input_image_path"":{""description"":""Path to the source image file or folder of images on disk."",""title"":""Input image path"",""type"":""string""},""output_image_path"":{""description"":""Where to save the enhanced image(s) (parent folders are created if missing)."",""title"":""Output image path"",""type"":""string""}},""required"":[""input_image_path"",""output_image_path""],""title"":""ImageEnhanceBrightnessPiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Path to the saved output image."",""title"":""Output image path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
305,TrainTestSplitPiece,Split data into train and test sets,"[""preprocessing"", ""datasets""]","{""description"":""TrainTestSplit Piece Input Model"",""properties"":{""data_path"":{""description"":""The path to the data to be split."",""title"":""Data Path"",""type"":""string""},""random_state"":{""default"":42,""description"":""The random state for the split."",""title"":""Random State"",""type"":""integer""},""target_column"":{""default"":""FVE"",""description"":""The name of the target column."",""title"":""Target column"",""type"":""string""},""test_data_size"":{""default"":0.2,""description"":""The size (%) of the test data."",""title"":""Test Data Ratio"",""type"":""number""}},""required"":[""data_path""],""title"":""TrainTestSplitPiece"",""type"":""object""}","{""description"":""TrainTestSplit Piece Output Model"",""properties"":{""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""},""test_data_path"":{""description"":""The path to the test data set"",""title"":""Test Data Path"",""type"":""string""},""train_data_path"":{""description"":""The path to the train data set"",""title"":""Train Data Path"",""type"":""string""}},""required"":[""train_data_path"",""test_data_path""],""title"":""OutputModel"",""type"":""object""}"
306,MinOfTheDayPiece,Add day of the year column to joined Meteo and FVE data,"[""Add min of the day column""]","{""description"":""MinOfTheDay Piece Input Model"",""properties"":{""meteo_fve_input_file"":{""description"":""The path to the joined Meteo and FVE data"",""title"":""Meteo and FVE data"",""type"":""string""}},""required"":[""meteo_fve_input_file""],""title"":""MinOfTheDayPiece"",""type"":""object""}","{""description"":""MinOfTheDay Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the Meteo and FVE data with added min of the day column"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
307,DayOfTheYearPiece,Add day of the year column to joined Meteo and FVE data,"[""Add day of the year column""]","{""description"":""DayOfTheYear Piece Input Model"",""properties"":{""meteo_fve_input_file"":{""description"":""The path to the joined Meteo and FVE data"",""title"":""Meteo and FVE data"",""type"":""string""}},""required"":[""meteo_fve_input_file""],""title"":""DayOfTheYearPiece"",""type"":""object""}","{""description"":""DayOfTheYear Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the Meteo and FVE data with added day of the year column"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
308,IsDayPiece,Add is day column to joined Meteo and FVE data,"[""Add is day column""]","{""description"":""IsDay Piece Input Model"",""properties"":{""meteo_fve_input_file"":{""description"":""The path to the joined Meteo and FVE data"",""title"":""Meteo and FVE data"",""type"":""string""}},""required"":[""meteo_fve_input_file""],""title"":""IsDayPiece"",""type"":""object""}","{""description"":""IsDay Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the Meteo and FVE data with added is day column"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
309,MeteoPiece,This loads the Meteo Data and filter them by the location from Ciselniky Data,"[""Meteo Data piece""]","{""description"":""Meteo Piece Input Model"",""properties"":{""ciselniky_input_file"":{""description"":""The path to the Ciselniky Data"",""title"":""Ciselniky data"",""type"":""string""},""meteo_input_file"":{""description"":""The path to the Meteo Data"",""title"":""Meteo data"",""type"":""string""}},""required"":[""meteo_input_file"",""ciselniky_input_file""],""title"":""MeteoPiece"",""type"":""object""}","{""description"":""Meteo Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the filtered Meteo file by the specified Ciselniky Data"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
314,KafkaConsumerPiece,Consumer for Kafka to read streaming data,"[""Kafka"", ""consumer"", ""stream""]","{""description"":""KafkaConsumer Piece Input Model"",""properties"":{""auto_offset_reset"":{""default"":""earliest"",""description"":""Kafka consumer auto reset offset"",""enum"":[""smallest"",""earliest"",""beginning"",""largest"",""latest"",""end"",""error""],""title"":""Auto Offset Reset"",""type"":""string""},""bootstrap_servers"":{""default"":""localhost:9093"",""description"":""The Kafka broker address"",""title"":""Bootstrap Servers"",""type"":""string""},""group_id"":{""default"":""default-group"",""description"":""Kafka consumer group"",""title"":""Group Id"",""type"":""string""},""message_polling_timeout"":{""default"":5.0,""description"":""Timeout in seconds for polling messages."",""title"":""Message Polling Timeout"",""type"":""number""},""no_message_timeout"":{""default"":10.0,""description"":""Timeout in seconds to stop polling if there are no messages arriving."",""title"":""No Message Timeout"",""type"":""number""},""security_protocol"":{""default"":""SSL"",""description"":""Security protocol"",""title"":""Security Protocol"",""type"":""string""},""topics"":{""default"":[""default-topic""],""description"":""Topic name"",""items"":{""type"":""string""},""title"":""topic name"",""type"":""array""}},""title"":""KafkaConsumerPiece"",""type"":""object""}","{""description"":""KafkaConsumer Piece Output Model"",""properties"":{""messages_file_path"":{""description"":""File with consumed messages."",""title"":""Messages File Path"",""type"":""string""}},""required"":[""messages_file_path""],""title"":""OutputModel"",""type"":""object""}"
319,AddSunPiece,Add is day probability attribute to joined Meteo and FVE data,"[""Add is day probability attribute column""]","{""description"":""AddSun Piece Input Model"",""properties"":{""meteo_fve_input_file"":{""description"":""The path to the joined Meteo and FVE data"",""title"":""Meteo and FVE data"",""type"":""string""},""slnko_input_file"":{""default"":""/home/shared_storage/slnkoCasy2.csv"",""description"":""The path to the Sun hours data"",""title"":""Sun hours data"",""type"":""string""}},""required"":[""meteo_fve_input_file""],""title"":""AddSunPiece"",""type"":""object""}","{""description"":""AddSun Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the Meteo and FVE data with added is day probability column"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
324,Meteo_FVEPiece,This join the FVE and Meteo Data,"[""SQL join for Meteo and FVE Data piece""]","{""description"":""Meteo and FVE Piece Input Model"",""properties"":{""fve_input_file"":{""description"":""Output from FVE Data piece"",""title"":""Filtered FVE data"",""type"":""string""},""meteo_input_file"":{""description"":""Output from Meteo Data piece"",""title"":""Filtered Meteo data"",""type"":""string""}},""required"":[""fve_input_file"",""meteo_input_file""],""title"":""Meteo_FVEPiece"",""type"":""object""}","{""description"":""Meteo and FVE Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the SQl joined Meteo and FVE file"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
310,InferenceModelPiece,Load a trained model and use it to make predictions on new data.,"[""modeling"", ""machine_learning""]","{""description"":""InferenceModel Piece Input Model"",""properties"":{""target_column"":{""default"":""FVE"",""description"":""The name of the target column."",""title"":""Target column"",""type"":""string""},""test_data_path"":{""description"":""Data path to inference on."",""title"":""Data path"",""type"":""string""},""trained_model_path"":{""description"":""Path to the model to use for inference."",""title"":""Model path"",""type"":""string""}},""required"":[""test_data_path"",""trained_model_path""],""title"":""InferenceModelPiece"",""type"":""object""}","{""description"":""InferenceModel Piece Output Model"",""properties"":{""data_path"":{""description"":""The path to the predicted values."",""title"":""Data Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""data_path""],""title"":""OutputModel"",""type"":""object""}"
315,ConvertTimePiece,"Convert joined Meteo and FVE data DateTime column to the format=""%d.%m.%Y %H:%M""","[""Convert DateTime column/attribute""]","{""description"":""ConvertTime Piece Input Model"",""properties"":{""meteo_fve_input_file"":{""description"":""The path to the joined Meteo and FVE data"",""title"":""Meteo and FVE data"",""type"":""string""}},""required"":[""meteo_fve_input_file""],""title"":""ConvertTimePiece"",""type"":""object""}","{""description"":""ConvertTime Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the Meteo and FVE data with changed DateTime format"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
320,TimeSeriesClassificationTrainPiece,"Piece for training a time series classification model based on a 1D CNN architecture. The model is implemented in Keras. For more information see:
https://keras.io/examples/timeseries/timeseries_classification_from_scratch/","[""AI"", ""Keras"", ""Tensorflow"", ""CNN"", ""1D"", ""classification"", ""time series""]","{""description"":""TimeSeriesClassificationTrainPiece Input Model"",""properties"":{""batch_size"":{""default"":32,""description"":""Batch size."",""title"":""batch size"",""type"":""integer""},""epochs"":{""default"":500,""description"":""Number of epochs."",""title"":""epochs"",""type"":""integer""},""filters_per_layer"":{""default"":[64,64,64],""description"":""Number of filters for each convolutional layer."",""items"":{""type"":""integer""},""title"":""number of filters"",""type"":""array""},""kernel_sizes"":{""default"":[3,3,3],""description"":""Kernel size for each convolutional layer."",""items"":{""type"":""integer""},""title"":""kernel sizes"",""type"":""array""},""num_layers"":{""default"":3,""description"":""Number of convolutional layers."",""title"":""number of layers"",""type"":""integer""},""train_data_path"":{""default"":""https://raw.githubusercontent.com/hfawaz/cd-diagram/master/FordA/FordA_TRAIN.tsv"",""description"":""Path to the train data."",""title"":""train data path"",""type"":""string""}},""title"":""TimeSeriesClassificationTrainPiece"",""type"":""object""}","{""description"":""TimeSeriesClassificationTrainPiece Output Model"",""properties"":{""best_model_file_path"":{""description"":""Path to the saved best model."",""title"":""Best Model File Path"",""type"":""string""},""last_model_file_path"":{""description"":""Path to the saved last model."",""title"":""Last Model File Path"",""type"":""string""}},""required"":[""best_model_file_path"",""last_model_file_path""],""title"":""OutputModel"",""type"":""object""}"
311,FVEPiece,This loads the FVE Data and filter them by the location,"[""FVE Data piece""]","{""description"":""FVE Piece Input Model"",""properties"":{""fve_input_file"":{""description"":""The path to the FVE Data"",""title"":""FVE input data"",""type"":""string""},""location"":{""description"":""Location to filter the FVE Data"",""title"":""Choose the location"",""type"":""string""}},""required"":[""fve_input_file"",""location""],""title"":""FVEPiece"",""type"":""object""}","{""description"":""FVE Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the filtered FVE file by the specified Location"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
316,SelectDatesPiece,Select dates from FVE data,"[""SQL"", ""data processing""]","{""description"":""SelectDates Piece Input Model"",""properties"":{""date_end"":{""description"":""End date for FVE data"",""format"":""date"",""title"":""End date"",""type"":""string""},""date_start"":{""description"":""Start date for FVE data"",""format"":""date"",""title"":""Start date"",""type"":""string""},""fve_input_file"":{""description"":""The path to the joined Meteo and FVE data"",""title"":""FVE data"",""type"":""string""}},""required"":[""fve_input_file"",""date_start"",""date_end""],""title"":""SelectDatesPiece"",""type"":""object""}","{""description"":""SelectDates Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the filtered FVE data by the entered dates"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
321,CiselnikyPiece,This loads the Ciselniky Data and filter them by the location,"[""Ciselniky Data piece""]","{""description"":""Ciselniky Piece Input Model"",""properties"":{""ciselniky_input_file"":{""description"":""The path to the Ciselniky Data"",""title"":""Ciselniky input data"",""type"":""string""},""location"":{""description"":""Location to filter the Ciselniky Data"",""title"":""Choose the location"",""type"":""string""}},""required"":[""ciselniky_input_file"",""location""],""title"":""CiselnikyPiece"",""type"":""object""}","{""description"":""Ciselniky Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the filtered Ciselniky file by the specified Location"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
312,ExecuteShellPiece,This loads the FVE Data and filter them by the location,"[""shell"", ""command""]","{""description"":""ExecuteShell Piece Input Model"",""properties"":{""fve_input_file"":{""description"":""The path to the Input Data"",""title"":""Input data"",""type"":""string""}},""required"":[""fve_input_file""],""title"":""ExecuteShellPiece"",""type"":""object""}","{""description"":""ExecuteShell Piece Output Model"",""properties"":{""file_path"":{""description"":""The path to the Output Data"",""title"":""File Path"",""type"":""string""},""message"":{""default"":"""",""description"":""Output message to log"",""title"":""Message"",""type"":""string""}},""required"":[""file_path""],""title"":""OutputModel"",""type"":""object""}"
